"Species","genus","family","order","group","Ks","Kl","P50","MinWP_md","HSM","Hv","MAT","TMean_Warmest","TMean_Coldest","AP","Prec_Wettest","Prec_Driest","Prec_Seasonality","Prec_WetQ","Prec_DryQ","Prec_WarmQ","Prec_ColdQ","Diurnal_TRange","Isotermality","TSeasonality","TMax.Warmest","TMin.Coldest","TRange","TMean_Wettest","TMean_Driest","srad","sradMin","tmax","tmin","vapr","windMax","wind","ABDRock","AWCtS_60cm_1km_ll","clay_60cm","ph_60cm","sand_60cm","SWC_200cm","silt_60cm","AI","VPDMax","PC1","PC2","PC3"
"Abarema jupunba","Abarema","Leguminosae","Fabales","Angiosperms",NA,NA,NA,NA,NA,NA,25.0373341728083,25.7816858867014,24.1927899102344,2473.65596919127,350.937098844673,79.7843388960205,48.196139163016,957.094993581515,290.394094993582,472.188703465982,664.337612323492,9.5019683091111,79.6717077948163,65.9518664804442,31.2010269214008,19.1297817817855,12.0712451334942,24.9197903609857,24.9986306999706,15958.3238063122,13587.3876765083,29.788318354909,20.2863500396768,2.5511018428019,1.77227213760702,1.47472186266075,194.02053915276,43.2811296534018,37.4788189987163,5.07920410783055,40.1566110397946,23.2849807445443,22.7111681643132,1722.31912708601,1.90057876973294,3.22876289939951,-0.495858107961513,0.0355356221865586
"Abarema mataybifolia","Abarema","Leguminosae","Fabales","Angiosperms",NA,NA,NA,NA,NA,0.938463231622463,25.8202273975719,26.4815149133856,25.2472728382457,2345.58181818182,366.018181818182,65.7636363636364,54.1679028597745,985.236363636364,238.727272727273,288.309090909091,784.145454545455,8.85287880464034,80.1566180142489,50.1342687433416,31.7963635184548,20.752727023038,11.0436364954168,25.5821211034601,26.2545451771129,16496.0362571023,13527.3636363636,30.2466667175293,21.3937879388983,2.7511515010487,1.87454543113709,1.56030305515636,199.444444444444,42.1296296296296,43.1296296296296,4.86111111111111,37.3333333333333,23.8518518518519,20.037037037037,1576.72,2.10027212838578,3.37598487403843,-1.24251042827031,0.0143260393521629
"Abies alba","Abies","Pinaceae","Pinales","Gymnosperms",1.299505,7.6412453406e-05,-3.76516666666667,-4,-0.23483333333333,0.588012,8.14044340199208,15.9078267847717,0.905783213898779,1009.97032878909,110.466279069767,59.6772654370489,19.104552975003,307.075100240577,201.824578989575,244.891459502807,248.642181234964,8.23628040613321,33.2304858811875,616.608970694706,22.0413953403329,-2.75989976007411,24.8012950869685,8.53465918687988,7.59186982315572,12096.342720126,3331.28167602245,12.2585836053086,4.02230319457596,0.864857958516505,4.05533680731331,3.54274024042781,191.517648937869,41.4839083213544,21.2414151094074,5.80078262258425,45.5338204759623,19.6600782622584,33.587446094873,1097.65854851644,1.34282127538532,-2.49631848628769,3.18062072585955,0.94364446400388
"Abies balsamea","Abies","Pinaceae","Pinales","Gymnosperms",1.46126362857143,0.0002662,-2.3114818046,NA,NA,26.6,4.69826322133749,17.2123761161983,-8.7682057701345,1035.47670250896,114.090027408813,58.1733080328906,22.517570982094,320.378874130297,193.814041745731,295.478389205144,217.20156019397,10.8471097665675,27.0116866892107,1055.6366964232,24.467172701299,-15.7765127371917,40.2436854080789,12.5378768610288,-4.31321948316815,12371.8852043884,3848.35884461311,10.1218181238703,-0.725291658440479,0.785358419781266,4.26970271628893,3.67881439542961,189.92186836518,39.0966029723992,13.0116772823779,5.61435244161359,56.1989384288747,15.9335456475584,31.0915074309979,1199.06580223487,1.54823841017002,-3.78766392122367,3.71586288616127,0.849242693963065
"Abies concolor","Abies","Pinaceae","Pinales","Gymnosperms",0.8768685,NA,-5.033328,-3.28282,1.750508,NA,8.15374773879355,16.9052157304154,0.385002098746328,685.373271889401,103.441139505656,19.5198994553833,49.5872913241936,284.166736489317,75.2526183493925,141.007540846251,231.757855048178,11.9880917305021,39.1882460977325,680.887791761855,25.095349796057,-5.15454545189795,30.2498952376578,8.90379136579933,8.73957550349675,15299.7413132168,6442.88563049853,14.1477936060298,2.15970186562799,0.64513301101498,4.38533724033538,3.76357700647946,188.835989932886,40.5176174496644,20.0763422818792,6.39941275167785,51.8565436241611,18.0398489932886,28.4270134228188,577.269082530373,2.1715824002158,-4.23046158481505,1.21810311529031,0.497563531821514
"Abies grandis","Abies","Pinaceae","Pinales","Gymnosperms",NA,NA,-3.6511666665,-2.5,1.1511666665,NA,8.88884972857435,16.0475431518835,2.22612115718475,848.16395954643,90.8611707018081,50.4079068342017,18.4179633953365,256.146184492798,165.959852896108,209.178057002758,213.26907753601,7.80335581160162,34.2780141365736,567.375554273291,21.7651241134728,-1.1142813369924,22.8794054773151,9.14730309515077,6.75589438323006,10647.0751065749,2211.99019307386,12.790527628274,4.98717182769645,0.940279650826999,4.47701501857274,3.85779701410318,198.155494337313,40.2794612794613,18.6562595653505,5.79620446893174,50.2519130700949,17.4869911233548,31.4609733700643,1041.27293901318,1.2196318598735,-3.21805001238505,3.36519814564922,1.23421035270503
"Abies lasiocarpa","Abies","Pinaceae","Pinales","Gymnosperms",0.287227,6.28e-05,-3.52741625,-1.5,2.02741625,3.34533,1.9216608285695,11.516880855382,-6.91606308197141,1022.69275700935,148.947429906542,34.7523364485981,38.8992147891321,414.585280373832,127.773364485981,181.885514018692,343.355140186916,11.7257398773577,35.8667793764132,760.939807642286,20.0137850480659,-12.8713784700556,32.8851635199841,3.15220017916149,3.35586060397327,13078.2587422879,3996.49182242991,7.78453075937996,-3.94120910598365,0.474411992582484,3.74205607565764,3.27393885917753,174.695395513577,43.2644628099174,13.5678866587958,5.95206611570248,54.1275088547816,18.5076741440378,32.6257378984652,1164.42546728972,1.48814465014497,-3.80865135961777,3.63141545795513,0.46122001728172
"Abies nordmanniana","Abies","Pinaceae","Pinales","Gymnosperms",0.6,NA,-4,NA,NA,NA,8.36273688992894,16.2414192454542,1.01591913996291,803.308907138345,89.2413139608339,45.1478205938092,21.4387030984056,249.934933670246,150.751737207833,204.462413139608,196.154769425142,7.77612655116122,31.8358161128629,624.565454248078,22.0180037926814,-2.43878711094528,24.4567909017817,10.0873973481945,5.72445778042795,10810.1719265117,2168.15350600126,12.2508001673922,4.47467361192442,0.908892399381401,4.35451673504979,3.78253842522205,195.277078085642,40.4395465994962,19.5056675062972,6.03280856423174,49.4804785894207,17.5950881612091,31.3942065491184,970.804421983575,1.26420896848723,-3.41301866244533,3.24949204383804,1.25256418313171
"Abies pinsapo","Abies","Pinaceae","Pinales","Gymnosperms",NA,NA,-4.1503333335,-2.8,1.3503333335,NA,12.4443590168617,20.3600567221549,5.74648593101826,843.532610379551,125.60201394268,2.88381099922541,67.9389975313619,369.526723470178,27.4785437645236,32.5155693261038,364.144229279628,10.6614910857055,38.2033436468643,600.239560837158,28.9209759278597,1.00900077741105,27.9119751800963,6.82403046351639,20.2282003040742,17369.7403475382,7779.82153369481,17.7751045738238,7.11361346728667,0.96854504863021,5.02653755391872,4.24289309692235,187.341750580945,41.9944229279628,32.2704879938033,6.81092176607281,36.0184353214562,23.3620449264136,32.053601859024,554.397288923315,2.82609551326579,-3.09465245811296,-0.592723146402825,0.129185072209495
"Acacia aneura","Acacia","Leguminosae","Fabales","Angiosperms",NA,NA,NA,NA,NA,9.1500000034969,20.4566104255877,27.6498866691704,12.7697157885368,259.942591866091,38.185562965869,10.7359748921146,36.0717259645618,96.9223224794037,39.3440564927423,89.6779129070224,51.6928207140055,14.185094361463,46.5310899632981,604.223611198376,35.8981300035738,5.39679612766703,30.5013338567635,25.2049234895842,16.8680571778952,20717.3462952945,11792.2527788675,27.5491576119312,13.3640632497823,0.930477201876273,4.28794297895136,3.5578756314626,133.910496658367,39.6072598610929,26.4004717599266,7.55718778665968,64.6125016380553,14.302712619578,9.34556414624558,97.7233163332026,4.95953085928216,-6.06151289000525,-4.0652069000107,-1.83016289270382
