"rowname","B1","B2","S9","H4","sex","species","body_region","L","a","b","C","h","carotenoid","indiv_rep"
"Acrocephalus_palustris_a.Male.back",25.04037,0.062444812967581,0.626912928759894,0.737639857733852,"male","Acrocephalus_palustris","back",6.41720542458875,2.51831506593553,4.16712064375002,4.86896346575793,58.8541818355481,0,"a"
"Acrocephalus_palustris_a.Male.belly",107.73523,0.268666408977556,0.332792677981811,1.00502463226748,"male","Acrocephalus_palustris","belly",26.1201077235095,3.66770026277816,7.22225764121398,8.1001870752259,63.0770397963466,0,"a"
"Acrocephalus_palustris_a.Male.crown",18.66287,0.0465408229426434,0.601108700891781,0.708515514696582,"male","Acrocephalus_palustris","crown",4.59237083740978,1.81845840188308,2.55591301002595,3.13679490470752,54.569245954923,0,"a"
"Acrocephalus_palustris_a.Male.tail",26.24246,0.0654425436408978,0.488247659086566,0.644890942046896,"male","Acrocephalus_palustris","tail",5.98587028695708,2.29580802782917,1.88839533387625,2.97267075836703,39.4386845618489,0,"a"
"Acrocephalus_palustris_a.Male.throat",92.27254,0.23010608478803,0.270418050941307,1.048216411845,"male","Acrocephalus_palustris","throat",21.6468026077016,3.25352669203638,3.27081585255173,4.6134230542079,45.1518304110134,0,"a"
"Acrocephalus_palustris_a.Male.wing_cov",33.93551,0.0846272069825436,0.60675338326107,0.723299489580091,"male","Acrocephalus_palustris","cov",8.4415410204445,3.109253464533,4.79440199778231,5.71434577384406,57.035886492774,0,"a"
"Acrocephalus_palustris_b.Male.back",27.43923,0.0684270074812968,0.614681840038468,0.693733921909913,"male","Acrocephalus_palustris","back",6.78898248958626,2.75100005473802,3.9802590145836,4.83843602048664,55.3492814590103,0,"b"
"Acrocephalus_palustris_b.Male.belly",118.78938,0.296232867830424,0.181950171322376,1.12636012527857,"male","Acrocephalus_palustris","belly",27.0774004142257,3.78720695482573,1.28540681874034,3.99940085617141,18.7476027689948,0,"b"
"Acrocephalus_palustris_b.Male.crown",22.08912,0.0550850872817955,0.613154310177077,0.667947362066485,"male","Acrocephalus_palustris","crown",5.32444971085154,2.32982006656834,2.78715852585515,3.6326731467105,50.1073348424245,0,"b"
"Acrocephalus_palustris_b.Male.tail",26.74096,0.0666856857855362,0.469910846953938,0.722763039064923,"male","Acrocephalus_palustris","tail",6.12491573180598,1.98795258681925,1.57900139285189,2.53874001939339,38.4595974267012,0,"b"
"Acrocephalus_palustris_b.Male.throat",102.68947,0.256083466334165,0.237323943661972,1.10306776348534,"male","Acrocephalus_palustris","throat",24.2910685903291,3.43698711549142,3.31114082390993,4.7724767142247,43.9316110022153,0,"b"
"Acrocephalus_palustris_b.Male.wing_cov",25.58049,0.0637917456359102,0.602093342484557,0.727564171208115,"male","Acrocephalus_palustris","cov",6.35704545696709,2.54216354652906,3.49362789503815,4.32065172934477,53.95822072703,0,"b"
"Acrocephalus_palustris_c.Male.back",25.41467,0.0633782294264339,0.671735965054198,0.695346733594137,"male","Acrocephalus_palustris","back",6.49117974350541,2.88736761067096,4.53356709514641,5.37495323936367,57.5074904184354,0,"c"
"Acrocephalus_palustris_c.Male.belly",104.40912,0.26037187032419,0.386886010967215,0.969698080471581,"male","Acrocephalus_palustris","belly",25.9362350830502,3.80454474903383,9.73567437203465,10.4526511577539,68.6552423883981,0,"c"
"Acrocephalus_palustris_c.Male.crown",21.92919,0.0546862593516209,0.608275862068966,0.692907038348148,"male","Acrocephalus_palustris","crown",5.32960483824495,2.17643570445028,2.83224540952492,3.57190235524167,52.4595650536047,0,"c"
"Acrocephalus_palustris_c.Male.tail",22.48809,0.0560800249376559,0.581036808633648,0.626045003514856,"male","Acrocephalus_palustris","tail",5.20124507416389,2.27531708653445,2.1139302277261,3.10576381136263,42.8942580420194,0,"c"
"Acrocephalus_palustris_c.Male.throat",96.68219,0.241102718204489,0.198888028714195,1.11483110053723,"male","Acrocephalus_palustris","throat",22.3144628046329,3.0284755458701,1.78321563749856,3.51447323816139,30.4902683947214,0,"c"
"Acrocephalus_palustris_c.Male.wing_cov",31.33666,0.0781462842892768,0.606900452488688,0.729410069096737,"male","Acrocephalus_palustris","cov",7.85599306718036,3.03509266483787,4.54017710275989,5.46122656631071,56.2374096104578,0,"c"
